0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.47,0.47,0.47
1.86,1.87,1.83
7.89,7.96,7.96
32.39,32.38,32.55
0.24,0.23,0.23
0.93,0.93,0.93
4.13,4.38,4.21
17.89,17.91,17.74
0.24,0.28,0.28
1.09,1.06,1.14
4.65,4.50,4.18
17.87,18.32,17.93
0.23,0.23,0.24
0.93,0.94,0.97
4.17,4.25,4.25
18.20,18.35,18.88
